pair_id	premise_slo	hypothesis_slo	premise_eng	hypothesis_eng	label
P3	Preroški pomen: Če v sanjah bedite, je to na splošno napoved obrekovanja.	V preroškem smislu budnost v sanjah nakazuje opravljanje.	Prophetic meaning: if you are awake in a dream, this is generally a prediction of slander.	In a prophetic sense, wakefulness in a dream indicates gossip.	entailment
P11	Zaželena je univerzitetna visokošolska izobrazba na področju računalniške programske opreme ali gradbeništva.	Preferirajo kadidate z diplomo s področja računalništva ali gradbeništva.	A university degree in computer software or civil engineering is desirable.	Preference is given to candidates with a degree in computer science or civil engineering.	entailment
P127	Bila sem na pol poti sem, ko me je zadel val eksplozije.	Na sredini poti do tu me je ujela eksplozija.	I was halfway there when the blast wave hit me.	Halfway there, I was caught in an explosion.	entailment
P137	Zlasti naraščajo pojavi pljučnega in kožnega raka, raka ledvic, debelega črevesa in danke pri obeh spolih, pri ženskah raka dojk, pri moških pa rakov ustne votline in žrela ter mehurja in mod.	Tako pri moških kot pri ženskah je opazen porast pojavitev naslednjih vrst raka: pljučnega, kožnega, raka ledvic, debelega črevesa in danke; ženske najpogosteje zbolijo za rakom dojk, moški pa za rakom ustne votline oz. žrela ter mehurja oz. mod.	In particular, the incidence of lung, skin, kidney, colon and colorectal cancers is rising in both sexes, breast cancer in women and oral and pharyngeal, bladder and testicular cancers in men.	Both men and women are experiencing an increase in the incidence of the following cancers: lung, skin, kidney and colorectal cancers; breast cancer is the most common cancer in women, while men are more likely to develop oral or pharyngeal and bladder or testicular cancers.	entailment
P195	Dokaj redka je poporodna psihoza (ena na tisoč porodnic), ki se začne v prvih dveh tednih po porodu kot manično nemirno vedenje.	Psihoza, ki lahko nastopi po porodu, se lahko pojavi v eni od tisoč porodnic, pojavi se zelo hitro po porodu, prvi simptom pa je nervoza.	Postpartum psychosis, which starts in the first two weeks after childbirth as manic, unrestful behaviour, is quite rare (one in 1,000 women).	Postpartum psychosis can occur in one in a thousand parturients, it occurs very quickly after childbirth, and the first symptom is nervousness.	entailment
P303	Pokleknila sem ob njej, ji odmaknila dlan z obraza in si jo pritisnila k ustnicam.	V pokleku poleg nje sem vzela v roke dlan, ki jo je imela na obrazu, in jo poljubila.	I knelt down beside her, took her hand away from her face and pressed it to my lips.	Kneeling down next to her, I took her hand that was on her face and kissed it.	entailment
P306	Navadno so jih izdelovali v črni, rdeči in rjavi barvi.	Ponavadi so bili narejeni črni, rdeči in rjavi.	They were usually made in black, red and brown.	They were usually made in black, red and brown.	entailment
P314	Načelnik Upravne enote Novo mesto Jože Preskar nam je povedal, da se bo po zagotovilih investitorja, ministrstva za javno upravo, upravna enota selila v nove poslovne prostore konec oktobra prihodnje leto.	Naslednje leto jeseni se novomeška upravna enota premika v druge poslovne prostore, kar je tamkajšnjemu načelniku zatrdil vlagatelj (MJU RS).	Jože Preskar, Head of the Administrative Unit Novo mesto, told us that according to the assurances of the investor, the Ministry of Public Administration, the Administrative Unit will move to its new premises at the end of October next year.	Next autumn, the administrative unit in Novo mesto is moving to different premises, as the applicant (MJU RS) has assured the local head of administration.	entailment
P321	Vpliva na: centralno živčevje, limfni sistem, kožo in sluznico.	Vpliva na možgane in hrbtenjačo, limfe, kožo in sluznična tkiva.	It affects: the central nervous system, the lymphatic system, skin and mucous membranes.	It affects the brain and spinal cord, lymphs, skin and mucosal tissues.	entailment
P372	Ti pritiski se odražajo na način, ki naše rojake potiskajo na rob njihovega narodnostnega preživetja.	Zaradi tovrstnega privijanja se naši sonarodnjaki znajdejo na meji narodnostnega preživetja.	These pressures are reflected in ways that push our compatriots to the brink of their national survival.	This kind of pressure leaves our compatriots on the brink of national survival.	entailment
P500	Predmet razpisa je štipendiranje kratkoročne mednarodne mobilnosti v tujino za namen izobraževanja ali praktičnega usposabljanja slovenskih dijakov in študentov.	Tema razpisa je nudenje nepovratne denarne pomoči za netrajno internacionalno mobilnost izven meja države prebivanja za edukacijo ali praktično usposabljanje dijakov in študentov iz Slovenije.	This call for applications concerns short-term international mobility grants for education or practical training for Slovenian pupils and students.	The topic of the call for applications is the provision of non-repayable financial support for non-permanent international mobility outside the country of residence for education or practical training of Slovenian pupils and students.	entailment
P504	Ni se pokrival z dišečo prešito odejo tako kot vi.	Za razliko od vas je on raje spal pokrit z rjuho brez vonjav.	He didn't cover himself with a scented duvet like you.	Unlike you, he prefers to sleep covered with odourless sheets.	entailment
P553	Jaz sem kimal, se smehljal in prestrezal začudene poglede.	Ne smej se in ne migaj z glavo gor in dol, kajti mislili bodo, da si čez les.	I nodded, smiled and intercepted the astonished looks.	Don't smile and don't move your head up and down, because they'll think you're crazy.	entailment
P616	Stroške ocenjevanja in pridobitve DLP-potrdila določi Vlada Republike Slovenije.	Slovenska Vlada je tista, ki določa, kakšen znesek bo potreben za ocenitev in pridobitev potrdila DLP.	The costs of the assessment and the acuisition of the DLP certificate are determined by the Government of the Republic of Slovenia.	It is the Slovenian Government that determines the amount that will be needed to assess and obtain a DLP certificate.	entailment
P701	Za prijateljstvo ali skupno pot te želi spoznati urejena in dobrosrčna ženska.	Urejena ženska dobrega srca išče moškega za tovarištvo ali resno zvezo.	A well-kept and kind-hearted woman wants to become friends with you or start a relationship.	A well-groomed woman with a good heart is looking for a man for companionship or a serious relationship.	entailment
P804	Tisti, ki se imajo radi, se ne bojijo, da jih drugi ne marajo.	Ljudi, ki imajo radi sami sebe, ni strah odklonilnega odnosa drugih.	Those who love themselves are not afraid of others disliking them.	People who love themselves are not afraid of rejection from others.	entailment
P820	(3) Za motorna in priklopna vozila s tujo registracijo, ki jih ima v zakupu domači prevoznik, se zaračunava cestna taksa v zneskih, ki veljajo za državo, v kateri je registrirano posamezno vozilo.	(3) Motorna vozila in priklopniki, ki jih začasno uporablja domači prevoznik, a nimajo domače registracije, morajo plačati cestno takso, pri čemer je višina te odvisna od države, kjer je vozilo opravilo registracijo.	(3) Motor vehicles and trailers with a foreign registration leased by a domestic haulier shall be subject to a road toll at the rates applicable in the country in which the vehicle is registered.	(3) Motor vehicles and trailers used temporarily by a domestic transporter but not registered domestically must pay a road tax, the amount of which depends on the country where the vehicle was registered.	entailment
P850	Okrog vitkega pasu ji je ležal težek usnjen pas z veliko srebrno zaponko.	Njen sloki život je nosil težek usnjat pas z orgomno sponko iz srebra.	Around her slender waist was a heavy leather belt with a large silver buckle.	Her slim bofice had a heavy leather belt with a silver organdy buckle.	entailment
P861	“Pa ja nisi zdaj ljubosumna že na psico?!“	“Mar sedaj zavidaš že psici?!“	You aren't jealous of the dog now?!	Do you envy the dog now?!	entailment
P888	Javna platforma v skupnost združuje ustvarjalke in ustvarjalce različnih področij kreativnih industrij in umetnosti.	Umetniki in umetnice ter kreativci in kreativke se bodo lahko predstavili na odprti spletni platformi, stičišču raznolikih področij ustvarjanja.	The public platform brings together creators from different areas of the creative industries and the arts in a community.	Artists and creators will be able to present themselves on an open online platform, a meeting point for diverse fields of creation.	entailment
P920	Delo natančneje preučuje tudi dva temeljna problemska sklopa v zvezi z oblikovanjem knjižnih del slovenskih protestantskih piscev: opisuje, kakšne tehnike prevajanja so uporabljali in s katerimi izrazi so opisovali svojo prevajalsko dejavnost.	Delo se natančno posveča dvema glavnima problemskima sklopoma, ki se navezujeta na oblikovanje knjižnih del slovenskih protestantskih avtorjev; in sicer opisuje prevajalske tehnike, ki so jih pisci uporabljali ter navaja izraze, s katerimi so sami opisali prevajalsko dejavnost.	The work also examines in more detail two fundamental issues related to the production of Slovenian Protestant writers' works: it describes the translation techniques they used and the terms they used to describe their translation activity.	The work focuses in detail on two main problem areas related to the formation of Slovenian Protestant authors' works, namely the translation techniques used by the writers and the terms they used to describe the translation activity.	entailment
P926	Bivši predsednik Milan Kučan je očitno še vedno v dobri formi, saj je na četrtem mestu (8).	Kučan, nekdanji PRS, z doseženim 4. mestom še kar izkazuje dobro pripravljenost.	Former President Milan Kučan is apparently still in good shape, he took the fourth place (8).	Kučan, a former PRS, is still showing good preparation with his 4th place.	entailment
P1030	Tisti managerji, ki so bili spoznani kot »močne« osebnosti, so lahko doživljali velik stres, pa so le redko zboleli.	Podjetniki, prepoznani kot “močne“ osebnosti, so redko podlegli bolezni, četudi so bili pod hudim pritiskom.	"Those managers who were considered as having ""strong"" personalities may have experienced high stress, but rarely became ill."	"Entrepreneurs identified as ""strong"" personalities rarely succumbed to a disease, even when under severe pressure."	entailment
P1047	Med navijaškimi skupinami so se v finale uvrstile skupine OŠ Pivka, OŠ Domžale, OŠ Cvetka Golarja, Škofja Loka, OŠ Log - Dragomer.	V finalu se bodo spopadle navijaške skupine naslednjih osnovnih šol: OŠ Domžale, OŠ Pivka, OŠ Cvetka Golarja, OŠ Log - Dragomer in Škofja Loka.	Among the fan groups, the groups of Pivka Primary School, Domžale Primary School, Cvetko Golar Primary School, Škofja Loka Primary School and Log-Dragomer Primary School qualified for the final.	Cheerleading groups from the following primary schools will compete in the final: the Domžale Primary School, the Pivka Primary School, the Cvetko Golar Primary School, the Log-Dragomer Primary School and the Škofja Loka Primary School.	entailment
P1098	Ministrstvo odloca o vlogi za vpis v register z odlocbo v upravnem postopku.	Odločitev o vlogi za vpis v uradni seznam na podlagi odločbe v upravnem postopku sprejme pristojno ministrstvo.	The Ministry decides on the application for entry in the register by a decision in the administrative procedure.	The decision on the application for inclusion in the official list shall be taken by the competent ministry on the basis of an administrative decision.	entailment
P1106	Ljudje se močno zavzemajo za varnost svojega imetja in samih sebe.	Ljudstvo si prizadeva zavarovati svojo lastnino ter poskrbeti za lastno varnost.	People are passionate about the security of their possessions and themselves.	People are trying to protect their property and ensure their own safety.	entailment
P1223	Mogoče bi bilo vse drugače, če bi drugače začela.	Morda bi bila v primeru drugačnega začetka celotna situacija drugačna.	Maybe it would have been different if I had started differently.	Perhaps if we had started differently, the whole situation would have been different.	entailment
P1343	(2) Če veterinarska organizacija v Republiki Sloveniji ne izpolnjuje predpisanih pogojev za izvajanje določene dejavnosti javne veterinarske službe, organizira ministrstvo izvajanje te dejavnosti pri ustreznih inštitucijah v državi ali v drugih državah.	Res je, da je veterinarska organizacija v RS določena za izvajanje določene dejavnosti javne veterinarske službe, vendar če ne zadostuje predpisanim pogojem za tako izvajanje, se to prestavi v drugo ustrezno organizacijo pri nas, lahko pa celo v tujino.	(2) If a veterinary organisation in the Republic of Slovenia does not meet the prescribed conditions for carrying out a particular activity of the public veterinary service, the Ministry shall organise the carrying out of that activity with the appropriate institutions in the country or in other countries.	It is true that the veterinary organisation in the RS is designated to carry out a specific activity of the public veterinary service, but if it does not meet the requirements for such an activity, it is transferred to another appropriate organisation in the RS, or even abroad.	entailment
P1388	Na prvi ravni zelo skrbno ravnamo z instrumentalnimi definicijami problema in z raziskovanjem deleža posameznega člana v procesu reševanja in delamo na artikulaciji dobrih možnih izidov.	V prvi vrsti ravnamo izjemno pazljivo z instrumentalnimi definicijami problema in z raziskovanjem deleža določenega člana v procesu reševanja ter se ukvarjamo z artikulacijo dobrih izidov, ki so možni.	At the first level, we take great care with instrumental definitions of the problem and with exploring each member's stake in the solution process, and we work on the articulation of good possible outcomes.	First and foremost, we are extremely careful with instrumental definitions of the problem and with exploring the stake of a particular member in the solution process, and we are concerned with articulating the good outcomes that are possible.	entailment
P1402	Potem sem se vrnil, izvlekel zavoj, se usedel pod žarnico in ga začel odpirati.	Ko sem prišel nazaj, sem prinesel paket, šel na svetlobo in ga odprl.	Then I went back, pulled out the wrapper, sat under the light bulb and started to open it.	When I came back, I brought the package, went to the light and opened it.	entailment
P1438	Vsak mesec izžrebamo deset prejemnikov nagrad med dolgoletnimi zvestimi naročniki revije Zdravje.	Revija Zdravje mesečno izžreba 10 srečnežev, ki prejmejo nagrado za dolgoletno zvestobo.	Every month, we draw ten prize winners from among long-standing loyal subscribers to Zdravje magazine.	Every month, Zdravje magazine draws 10 lucky winners to receive a prize for their years of loyalty.	entailment
P1448	Nimam pojma, zakaj, ko je dejansko tako čuden, ampak ponovila sem njene besede, to je vse.«	Ne razumem zakaj, saj je vendar čudak, a vse, kar sem naredila, je bilo to, da sem ponovila za njo.	"I have no idea why, when he is actually so strange, but I repeated her words, that's all."""	I don't understand why, because he is a freak, but all I did was repeat after her.	entailment
P1527	To ni žalitev, ampak razlog, da ob smrti žalujejo.	Tega ne smemo razumeti kot žalitev, temveč kot razlog, da žalujejo ob preminulosti.	This is not an insult, but a reason to mourn a death.	This should not be seen as an insult, but as a reason to mourn a passing.	entailment
P1540	Ni znano, da bi Septolete plus z okusom medu in limete vplivale na učinke drugih zdravil.	Ni podatkov o vplivanju pastil Septolete plus z okusom medu in limete na efektivnost ostalih medikamentov.	Septolete plus with honey and lime flavour is not known to interfere with the effects of other medicines.	There are no data on the effect of Septolete plus honey-lime flavoured lozenges on the effectiveness of other medicines.	entailment
P1550	Odrasle se hranijo predvsem z ribami, raki in vodnimi žuželkami.	Najbolj pogost izbor na jedilniku odraslih so raznorazne ribe, rakci ali druge vodne žuželke.	Adults feed mainly on fish, crustaceans and aquatic insects.	The most common choices on the adult menu are various fish, shrimps or other aquatic insects.	entailment
P1612	»Te ocene vendar!« je skoraj zahlipala Lucija Lupinc.	Lucija Lupinc je izrazila nezadovoljstvo nad ocenami.	These reviews, though! Lucija Lupinc almost shrieked.	Lucija Lupinc expressed her dissatisfaction with the reviews.	entailment
P1614	Depresivni bolniki se pogosto prebujajo prezgodaj ali sredi noči in ne morejo več zaspati.	Pri ljudeh, ki se spoporijemajo z depresijo, so pogosti nespečnost, nočno zbujanje in kratek spanec.	Depressed patients often wake up too early or in the middle of the night and can no longer fall asleep.	Insomnia, waking up at night and short sleep are common in people who struggle with depression.	entailment
P1621	Barvni odtenki se raztezajo od zelenih preko rumeno-rjavih, rjavih in rdečkastih tonov pa do temno rjavih in popolnoma črnih.	Opazimo več barvnih odtenkov, ki se stopnjujejo od izrazitejših in svetlejših do temnejših, dokler ne preidejo v popolno črnino.	The colour shades range from green through yellow-brown, brown and reddish tones to dark brown and completely black.	Several shades of colour are observed, gradating from more vivid and lighter to darker, until they become completely black.	entailment
P1627	Koncesijo podeli pristojni upravni organ občine ali mesta v soglasju z ministrstvom pristojnim za zdravstvo, po poprejšnjem mnenju lekarniške zbornice in Zavoda za zdravstveno zavarovanje Slovenije.	S koncesijo se morajo najprej strinjati ZZZS in lekarniška zbornica, nato jo mora odobriti ministrstvo, pristojno za zdravstvo, šele nato pa jo lahko pristojni upravni organ občine ali mesta tudi podeli.	The concession is granted by the competent administrative authority of the municipality or city in agreement with the Ministry responsible for healthcare, after the prior opinion of the Slovene Chamber of Pharmacies and the Health Insurance Institute of Slovenia.	The concession must first be approved by the ZZZS and the Chamber of Pharmacies, then by the Ministry responsible for healthcare, and only then it can be granted by the competent administrative authority of the municipality or city.	entailment
P1692	Morska voda v Jadranskem morju vsebuje 3,5 % soli, do 3 % je natrijevega klorida.	V Jadranu najdemo 3,5 odstotka soli, 3 odstotki od tega so NaCl.	Seawater in the Adriatic Sea contains 3.5% of salt and up to 3% of sodium chloride.	The Adriatic contains 3.5% of salt, 3% of which is NaCl.	entailment
P1760	Bil je popolnoma tiho, komaj si je upal dihati, in čakal.	Niti črhnil ni, bil je kot okamenel in čakal.	He was completely silent, hardly daring to breathe, and waited.	He didn't even twitch, he was as petrified and waited.	entailment
P1766	»Saj sem ti hotela samo pomagati,« je hip zatem vzkipela.	Takoj nato ni več zdržala: “Hotela sem le dobro!“	I was only trying to help you, she lost a temper a moment later.	"Immediately afterwards, she couldn't take it anymore: ""I just wanted to do good!"""	entailment
P1769	Vprašalnik so preizkušale svetovalne delavke, članice odbora za pripravo posveta, ki je bil v ta namen organiziran.	Sestavljen je bil poseben odbor za pripravo posveta, katerega članice (vse svetovalne delavke) so preverjale vprašalnik.	The questionnaire was tested by the consultants who were members of the consultation's drafting committee, which was organised for this purpose.	A special committee was set up to prepare the consultation, whose members (all female consultants) checked the questionnaire.	entailment
P1802	S pogledom je ošinil Susan, ki je stala zraven njega na ploščadi.	Bežno se je ozrl v smeri Susan, ki se je nahajala ob njem na ploščadi.	He glanced at Susan, who was standing next to him on the platform.	He glanced fleetingly in the direction of Susan, who was next to him on the platform.	entailment
P1861	»Kaj posebnega se mi na cesti še ni zgodilo, niti prometne nesreče še nisem doživel.«	»Za zdaj se mi na poti ni pripetilo nič posebnega ali nenavadnega.«	Nothing special has happened to me on the road, I've never even had a car accident.	So far, nothing special or unusual has happened to me on the route.	entailment
P1927	»Seveda, seveda,« se je razživel Marat.	Marat je živahno pritrdil.	Of course, of course, Marat brightened up.	Marat lively affirmed.	entailment
P1929	Stephen Hawking, eden osrednjih fizikov našega časa, je leta 1988 izdal poljudnoznanstveno uspešnico Kratka zgodovina časa.	1988 - Profesor Hawking je izdal knjigo Kratka zgodovina časa, eno najbolje prodajanih znanstvenih del.	Stephen Hawking, one of the leading physicists of our time, published the popular science bestseller A Brief History of Time in 1988.	1988 - Professor Hawking publishes A Brief History of Time, one of the best-selling scientific works.	entailment
P2101	PREDLOG: ROZI JE V KURNIKU, S KOŠARICO V ROKAH.	NASVET SE GLASI: ONA SE NAHAJA V KOKŠNJAKU, DRŽI KOŠARO.	SUGGESTION: ROSIE IS IN THE HENHOUSE, WITH A BASKET IN HER HANDS.	THE ADVICE IS: SHE IS IN THE COCKPIT, HOLDING THE BASKET.	entailment
P2117	Te bo določil habilitirani predavatelj specifično glede na izbrane teme.	Za te se bo odločil habilitirani predavatelj, po tem, ko bo premislil z ozirom glede na izbrane tematike.	These will be determined by the habilitated lecturer, depending on the topics chosen.	These will be decided by the habilitated lecturer, after considering the topics chosen.	entailment
P2129	S temi besedami je odkorakal z verande in se odpeljal.	Tako je končal pogovor, zapustil verando in odšel.	Having said that, he walked off the porch and drove away.	So he ended the conversation, left the porch and walked away.	entailment
